date,open,high,low,close,volume
1636776300,88200,88200,88200,88200,22.49982
1636776240,88200,88200,88200,88200,0
1636776180,88200,88200,88200,88200,0
1636776120,88200,88200,88200,88200,0
1636776060,88200,88200,88200,88200,0
1636776000,88200,88200,88200,88200,0
1636775940,88200,88200,88200,88200,0
1636775880,88200,88200,88200,88200,0
1636775820,88200,88200,88200,88200,0
1636775760,88200,88200,88200,88200,0
1636775700,88200,88200,88200,88200,0
1636775640,88200,88200,88200,88200,0
1636775580,88200,88200,88200,88200,0
1636775520,88200,88200,88200,88200,0
1636775460,88200,88200,88200,88200,0
1636775400,88200,88200,88200,88200,0
1636775340,88200,88200,88200,88200,0
1636775280,88200,88200,88200,88200,0
1636775220,88200,88200,88200,88200,0
1636775160,88200,88200,88200,88200,0
1636775100,88200,88200,88200,88200,0
1636775040,88200,88200,88200,88200,0
1636774980,88200,88200,88200,88200,0
1636774920,88200,88200,88200,88200,0
1636774860,88200,88200,88200,88200,0
1636774800,88200,88200,88200,88200,0
1636774740,88200,88200,88200,88200,0
1636774680,88200,88200,88200,88200,0
1636774620,88200,88200,88200,88200,0
1636774560,88200,88200,88200,88200,0
1636774500,88200,88200,88200,88200,0
1636774440,88200,88200,88200,88200,0
1636774380,88200,88200,88200,88200,0
1636774320,88200,88200,88200,88200,0
1636774260,88200,88200,88200,88200,0
1636774200,88200,88200,88200,88200,0
1636774140,88200,88200,88200,88200,0
1636774080,88200,88200,88200,88200,0
1636774020,88200,88200,88200,88200,0
1636773960,88200,88200,88200,88200,0
1636773900,88200,88200,88200,88200,0
1636773840,88200,88200,88200,88200,0
1636773780,88200,88200,88200,88200,0
1636773720,88200,88200,88200,88200,0
1636773660,88200,88200,88200,88200,0
1636773600,88200,88200,88200,88200,0
1636773540,88200,88200,88200,88200,0
1636773480,88200,88200,88200,88200,0
1636773420,88200,88200,88200,88200,0
1636773360,88200,88200,88200,88200,0
1636773300,88200,88200,88200,88200,0
1636773240,88200,88200,88200,88200,0
1636773180,88200,88200,88200,88200,0
1636773120,88200,88200,88200,88200,0
1636773060,88200,88200,88200,88200,0
1636773000,88200,88200,88200,88200,0
1636772940,88200,88200,88200,88200,0
1636772880,88200,88200,88200,88200,0
1636772820,88200,88200,88200,88200,0
