date,open,high,low,close,volume
2021-11-21T18:19.00Z,4221.86,4227.03,4227.71,4221.85,61.3685536
2021-11-21T18:18.00Z,4215.09,4222.94,4226.11,4204.2,425.4242983
2021-11-21T18:17.00Z,4223.96,4215.14,4226.35,4214.31,107.94755366
2021-11-21T18:16.00Z,4222.17,4223.96,4226.8,4216.92,81.55859675
2021-11-21T18:15.00Z,4209.55,4221.53,4223.51,4206,216.05980507
2021-11-21T18:14.00Z,4227.51,4208.95,4227.53,4206.39,177.39369143
2021-11-21T18:13.00Z,4242.88,4227.53,4242.94,4227.42,67.37347034
2021-11-21T18:12.00Z,4237.87,4242.88,4243.48,4237.87,63.35795222
2021-11-21T18:11.00Z,4233.63,4238.32,4241.89,4227.58,76.69722008
2021-11-21T18:10.00Z,4235.88,4233.63,4241.98,4229.41,108.4630479
2021-11-21T18:09.00Z,4231.92,4235.88,4235.94,4217,123.37312481
2021-11-21T18:08.00Z,4235.41,4231.71,4236.95,4223.88,330.62140191
2021-11-21T18:07.00Z,4248.32,4235.54,4251.73,4230.55,168.18202928
2021-11-21T18:06.00Z,4243.32,4248.33,4253.06,4241.79,176.02207642
2021-11-21T18:05.00Z,4242.83,4243.95,4249,4240,119.70749609
2021-11-21T18:04.00Z,4246.5,4242.78,4255.3,4241.4,245.58795843
2021-11-21T18:03.00Z,4256.6,4246.65,4256.6,4245,55.71591456
2021-11-21T18:02.00Z,4257.52,4256.61,4265.17,4256.59,62.44839341
2021-11-21T18:01.00Z,4262.33,4257.52,4267.12,4257.51,38.90516928
2021-11-21T18:00.00Z,4258.68,4262.33,4266.09,4258.22,111.65395966
2021-11-21T17:59.00Z,4267.61,4257.97,4276.65,4257.69,215.75417081
2021-11-21T17:58.00Z,4254.64,4267.61,4269.72,4253.4,332.19312556
2021-11-21T17:57.00Z,4246.93,4254.65,4256.78,4243.48,68.95898901
2021-11-21T17:56.00Z,4252.13,4246.94,4256.38,4246.02,277.48159283
2021-11-21T17:55.00Z,4256.93,4252.13,4259.22,4250,175.07111487
2021-11-21T17:54.00Z,4275.16,4256.61,4276.41,4254.14,155.96091287
2021-11-21T17:53.00Z,4287.62,4275.16,4295.03,4275.08,229.78209047
2021-11-21T17:52.00Z,4306.91,4287.61,4308.3,4270,597.36633928
2021-11-21T17:51.00Z,4312.02,4307.69,4312.02,4306.9,52.35637282
